Algorithm Name,Size,Constraint checks,no. of Assignments,Running time
BT,3,25.333333333333336,7.333333333333334,0.0
BT,4,115.0,11.666666666666668,0.0006649494171142578
BT,5,3287.0,87.33333333333333,0.017297744750976562
BT,6,84617.0,994.6666666666666,0.4604542255401611
BT,7,108697.33333333333,1481.0,0.5554045836130778
BT+MRV,3,19.333333333333332,4.333333333333334,0.0
BT+MRV,4,87.0,7.333333333333332,0.0
BT+MRV,5,837.0,24.333333333333332,0.005206743876139323
BT+MRV,6,5996.333333333334,60.666666666666664,0.02164109547932943
BT+MRV,7,77134.33333333333,467.0,0.26646073659261066
FC,3,27.0,4.333333333333334,0.0
FC,4,170.0,12.666666666666668,0.0
FC,5,666.6666666666666,47.0,0.0
FC,6,2275.666666666667,65.0,0.01563429832458496
FC,7,7846.666666666667,188.0,0.03819982210795085
FC+MRV,3,40.66666666666667,4.333333333333333,0.00033243497212727863
FC+MRV,4,125.0,7.666666666666666,0.0003325144449869792
FC+MRV,5,447.66666666666674,10.666666666666668,0.005207538604736328
FC+MRV,6,1294.3333333333333,21.333333333333332,0.0010054906209309895
FC+MRV,7,4551.333333333334,71.33333333333333,0.02604818344116211
MAC,3,51.66666666666667,4.666666666666666,0.0
MAC,4,211.66666666666669,8.333333333333334,0.005209048589070638
MAC,5,1626.0,20.666666666666668,0.005205392837524414
MAC,6,52128.33333333333,54.0,0.20379273096720377
MAC,7,27021.666666666668,33.0,0.10520291328430174
